OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
6758,Yale POP_MASTER,QEN-023,NA,0,BDG-QEN-023,840,Dari,1,848.0875854,35.0159,63.1422,BDG,QEN,Ab Garmak Ferestan,2901,Qala-e-Naw,???? ??,Badghis,??????,29
19356,Yale POP_MASTER,MUQ-081,NA,0,GZN-MUQ-081,840,Pashto,2,2006.687012,32.8308,67.7761,GZN,MUQ,Qamaruddin,1114,Muqur,???,Ghazni,????,11
21048,Yale POP_MASTER,SEP-102,NA,0,SRP-SEP-102,840,Uzbek,3,696.9752197,36.1853,65.9492,SRP,SEP,Asiab Bad,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
22825,Yale POP_MASTER,GAN-043,NA,0,PKK-GAN-043,840,Pashto,2,2657.126953,33.0126,69.3406,PKK,GAN,Uchki,2516,Gyan,????,Paktika,??????,25
22997,Yale POP_MASTER,SML-023,NA,0,KST-SML-023,840,Pashto,2,1560.11499,33.2788,69.5891,KST,SML,Sor Kani,2610,Shamal,???,Khost,????,26
23702,Yale POP_MASTER,BAK-031,NA,0,KST-BAK-031,840,Pashto,2,1176.369995,33.5135,70.0484,KST,BAK,Sal Kalay,2612,Bak,???,Khost,????,26
26522,Yale POP_MASTER,PLM-076,NA,0,LGR-PLM-076,840,Pashto,2,1926.439941,33.9608,69.0208,LGR,PLM,Halyas Khan Payen,501,Pul-e- Alam,?? ???,Logar,????,5
27720,Yale POP_MASTER,QGI-110,NA,0,LGM-QGI-110,840,Pashai,6,820.1467285,34.5902,70.3439,LGM,QGI,Omar Khail,703,Qarghayi,???? ??,Laghman,?????,7
28264,Yale POP_MASTER,ACN-056,NA,0,NGR-ACN-056,840,Pashto,2,1343.656006,34.0664,70.6579,NGR,ACN,Gawi,617,Achin,????,Nangarhar,???????,6
28593,Yale POP_MASTER,QGI-156,NA,0,LGM-QGI-156,840,Pashto,2,662.8289795,34.5177,70.1342,LGM,QGI,Zerani Hulya,703,Qarghayi,???? ??,Laghman,?????,7
28605,Yale POP_MASTER,MTM-059,NA,0,LGM-MTM-059,840,Pashto,2,797.390686,34.7238,70.2645,LGM,MTM,Arsallah Kalay,701,Mehtarlam,???? ???,Laghman,?????,7
34417,Yale POP_MASTER,CHK-152,NA,0,WDK-CHK-152,1045,Pashto,2,2699.168945,34.1607,68.4015,WDK,CHK,Sang Baba,406,Chak,??,Wardak,????,4
38828,Yale POP_MASTER,SYB-039,NA,0,WDK-SYB-039,840,Pashto,2,2139.839111,34.006,68.713,WDK,SYB,Bolandi,407,Saydabad,??? ????,Wardak,????,4
738,Yale POP_MASTER,NYB-112,NA,0,HLM-NYB-112,839,Pashto,2,732.5678101,31.389,64.3141,HLM,NYB,Marjan Wa Haji Salim,3204,Nawa-e-Barakzaiy,???? ????????,Hilmand,?????,32
1600,Yale POP_MASTER,PTR-026,NA,0,FAR-PTR-026,1087,Dari,1,669.3834839,32.5184,62.0729,FAR,PTR,Char Mast,3105,Pushtrod,??????,Farah,????,31
2766,Yale POP_MASTER,NIS-167,NA,0,HLM-NIS-167,839,Pashto,2,795.2020874,31.7114,64.4006,HLM,NIS,Lal Mohammad Khan,3201,Lashkargah,???????,Hilmand,?????,32
17738,CSO AIMS Villages (ACSOR),DUA-023,NA,0,GOR-DUA-023,2071,Dari,1,2809.416992,34.1949,65.16853,GOR,DUA,Chashma Safid (2),2103,DoLayna,?? ????,Ghor,???,21
20616,Yale POP_MASTER,JWD-153,NA,0,BDG-JWD-153,1157,Dari,1,2487.208984,34.7997,64.7134,BDG,JWD,Ghal Moshak,2905,Jawand,????,Badghis,??????,29
21553,Yale POP_MASTER,SGC-057,NA,0,SRP-SGC-057,839,Dari,1,1286.21106,35.9134,66.3529,SRP,SGC,Gajwa,2007,Sancharak(sangchark),???????,Sar-e-Pul,????,20
24678,Yale POP_MASTER,AZA-040,NA,0,LGR-AZA-040,1067,Pashto,2,2414.024902,34.1353,69.7194,LGR,AZA,Malik Namdar Kalay,507,Azra,????,Logar,????,5
36400,Yale POP_MASTER,BAM-054,NA,0,PWN-BAM-054,839,Dari,1,1508.850952,34.9653,69.1932,PWN,BAM,Khoja Hai Dowlat Shahi,304,Bagram,?????,Parwan,?????,3
36963,Yale POP_MASTER,SKD-105,NA,0,KBL-SKD-105,839,Dari,1,2045.113037,34.6822,69.0267,KBL,SKD,Surkh Bolandi,103,Shakardara,??????,Kabul,????,1
38702,Yale POP_MASTER,NRK-036,NA,0,WDK-NRK-036,839,Pashto,2,2570.785889,34.2796,68.8762,WDK,NRK,Chaqar,403,Nerkh,???,Wardak,????,4
979,Yale POP_MASTER,OBE-102,NA,0,HRT-OBE-102,887,Pashto,2,1248.444946,34.3177,63.0446,HRT,OBE,Now Abad Sabera,3012,Obe,????,Hirat,????,30
6522,Yale POP_MASTER,MOQ-024,NA,0,BDG-MOQ-024,838,Dari,1,739.8991089,35.1837,62.8624,BDG,MOQ,Bara Khana,2902,Muqur,???,Badghis,??????,29
10304,Yale POP_MASTER,DW2-022,NA,0,BLK-DW2-022,838,Dari,1,315.1621094,36.9011,66.6717,BLK,DW2,Elewari,1804,Dawlatabad,???? ????,Balkh,???,18
10623,Yale POP_MASTER,ALM-026,NA,0,FYB-ALM-026,838,Uzbek,3,758.9824219,35.9023,64.5373,FYB,ALM,Fatah Abad,2805,Almar,?????,Faryab,??????,28
11249,Yale POP_MASTER,GAI-088,NA,0,DYK-GAI-088,917,Dari,1,1476.239014,33.5375,65.6006,DYK,GAI,Kaj,3211,Baghran,??????,Hilmand,?????,32
12614,Yale POP_MASTER,JWD-252,NA,0,BDG-JWD-252,1863,Dari,1,2123.351074,34.7504,63.9774,BDG,JWD,Mail Now,2905,Jawand,????,Badghis,??????,29
13677,Yale POP_MASTER,GHH-054,NA,0,BDG-GHH-054,838,Pashto,2,639.5485229,35.7618,63.7473,BDG,GHH,Khair Mohammad,2907,Ghormach,??????,Badghis,??????,29
19815,Yale POP_MASTER,YYK-052,NA,0,PKK-YYK-052,838,Pashto,2,2130.674072,32.9204,68.6377,PKK,YYK,Sharqi Warakay Jangali,2506,Yahyakhel,??? ???,Paktika,??????,25
21634,Yale POP_MASTER,ZAR-037,NA,0,BLK-ZAR-037,5167,Dari,1,1526.735962,35.8161,66.6439,BLK,ZAR,Bakhtgan Payen,1816,Zari,????,Balkh,???,18
23260,Yale POP_MASTER,SBR-020,NA,0,KST-SBR-020,838,Pashto,2,1255.530029,33.5181,69.8964,KST,SBR,Guldar Kalay,2602,Sabari,????,Khost,????,26
23383,Yale POP_MASTER,KHS-112,NA,0,KST-KHS-112,838,Pashto,2,1100.646973,33.3406,70.013,KST,KHS,Mullahyan,2601,Khost(Matun),( ????(????,Khost,????,26
29628,Yale POP_MASTER,SWS-077,NA,0,KUN-SWS-077,838,Pashto,2,1361.239014,34.9344,71.3192,KUN,SWS,Sonow,1306,Shigal Wa sheltan,???? ?????,Kunar,??? ??,13
